Basis,program,"image size (1/2 diag, mm)",f/#,efl (mm),notes
US04403836-1,zemax,4.4,7,100,catadioptric
US04412726-1,zemax,1.35,2.9,1,fisheye: +-90 deg FOV
US04426137-1,zemax,15,2.5,100,double gauss (Laikin reference)
US04431273-1,zemax,17.8,2.8,12,
US04443068-1,zemax,14,6,590,catadioptric
US04443070-1,zemax,21,2,100,double gauss (Laikin reference)
US04447137-1,zemax,21,2,134,
US04448497-1,zemax,41,1.4,100,double gauss (Laikin reference)
US04483597-1,zemax,15,2,200,
US04514052-1,zemax,41,2,100,double gauss
US04553823-1,zemax,21.7,2,52,
US04556295-1,zemax,21,4.2,195,
US04621909-1,zemax,21.7,1.5,51,
US04647161-1,zemax,20,3.7,15,
US04666259-1,zemax,21,7,495,catadioptric
US04666260-2,zemax,11,4,200,
US04709998-1,zemax,12,3.7,100,
US04717245-2,zemax,21.6,1,50,Canon EF50mm f/1.0L USM
US04786152-1,zemax,11,2.9,100,
US04786153-1,zemax,21,2.9,51,macro
US04807983-1,zemax,21.7,2.7,50,
US04852984-1,zemax,25,1.4,100,
US04852984-2,zemax,21,1.9,295,
US04923292-1,zemax,21.7,2.9,50,
US04934797-1,zemax,21.7,2.1,36,
US04951078-1,zemax,21,7,500,catadioptric
US04966449-1,zemax,21,6,233,
US04978205-1,zemax,21.7,2.9,297,
US04986643-1,zemax,21.7,2.9,104,
US04991946-1,zemax,61,20,,
US05315441-1,zemax,21.7,1.5,39,macro
US05321554-4,zemax,18,2.9,15,inverse telephoto
US05323270-1,zemax,21.7,3.7,394,macro
US05323270-5,zemax,21.7,4,600,macro
US05325234-1,zemax,21.7,3,195,macro
US05331467-1,zemax,21,7.5,1000,catadioptric
US05402268-1,zemax,21,4,200,
US05434713-1,zemax,21.7,3,15,macro
US05438455-1,zemax,21,3,400,
US05490014-1,zemax,21,2.8,195,
US05557473-1,zemax,21,2.8,28,
US05579160-2,zemax,21.7,4,294,macro
US05589988-1,zemax,21.7,1.9,35,macro
US05589988-4,zemax,21.7,1.5,28,macro
US05598299-1,zemax,21.7,2.9,100,
US05610769-1,zemax,21,4.2,590,macro
US05623371-1,zemax,21.7,5,55,
US05627685-1,zemax,21,3,295,
US05631780-1,zemax,22,2.8,24,wide angle
US05631780-3,zemax,19,1.8,24,wide angle
US05631780-4,zemax,21,1.8,24,wide angle
US05724195-1,zemax,3,0.9,2.9,
US05737129-1,zemax,21,7,68,
US05745306-1,zemax,21.7,2.9,295,
US05745306-2,zemax,21,4.1,495,
US05745306-3,zemax,21.7,6.3,496,
US05757555-1,zemax,21.7,4.1,295,
US05757555-6,zemax,21,4,392,
US05805359-1,zemax,21.7,2.9,27,macro
US05808808-1,zemax,21.7,2.9,16,
US05909319-3,zemax,21,4,200,
US05917663-1,zemax,21,2.9,29,
US05917663-2,zemax,21,2.9,28,
US05920436-1,zemax,23,1,24,double gauss (Laikin reference)
US05930056-1,zemax,25,4.6,68,double gauss
US05946136-1,zemax,21.7,2.9,61,macro
US06038085-1,zemax,1,1.3,1,#ERROR!
US06115188-1,zemax,21,3,295,
US06115188-10,zemax,21,4,490,
US06115188-15,zemax,21,4.2,590,
US06115188-22,zemax,21,4.1,585,
US06115188-7,zemax,21,3,392,
US06154324-1,zemax,35,3.8,123,
US06239919-2,zemax,21.7,2.9,588,macro
US06317275-1,zemax,33.4,2.9,148,
US06366412-1,zemax,51,6.8,100,double gauss
US06384975-1,zemax,21,3,133,
US06476982-1,zemax,3.4,2,5.7,4-element mobile imaging
US06549343-1,zemax,21,1.8,95,
US06560042-2,zemax,21.7,1.9,31,
US06580568-1,zemax,34,5.7,292,
US06844991-1,zemax,14,2.9,10,fisheye: +-90 deg FOV
US06891684-1,zemax,21.7,2.9,50,"macro, internal focus"
US06894847-1,zemax,34,3.6,35,
US06917479-1,zemax,2.5,2.8,4.6,4-element mobile imaging
US06927926-1,zemax,12,2.9,300,
US07023628-1,zemax,2..5,2,1.7,fisheye
US07054076-1,zemax,3.6,3.3,10,double gauss
US07057831-1,zemax,21.7,4.2,360,
US07061695-1,zemax,3,3,5,3-element mobile imaging
US07095571-1,zemax,3,3,3.8,3-element mobile imaging
US07154681-1,zemax,2.8,2.8,8.1,4-element mobile imaging
US07161746-1,zemax,14,2.9,10,fisheye: +-90 deg FOV
US07164544-1,zemax,21.7,4.2,300,
US07173776-1,zemax,4.38,1.9,2.95,fisheye: +-90 deg FOV
US07190532-1,zemax,2.9,2.9,4.6,4-element mobile imaging
US07196855-1,zemax,2.8,2.8,3.6,3-element mobile imaging
US07218457-1,zemax,21.7,2.9,105,macro
US07239455-1,zemax,34,4.7,292,
US07286303-1,zemax,21.7,2.8,45,
US07411745-2,zemax,21,2,195,
US07474478-1,zemax,2.8,2.8,4.8,4-element mobile imaging
US07551367-1,zemax,21.7,1.5,24,
US07554753-1,zemax,8.3,2.9,10,fisheye: +-90 deg FOV
US07558005-1,zemax,2.9,2.9,4.5,4-element mobile imaging
US07583441-1,zemax,21.7,2.8,57,macro
US07586693-1,zemax,21.7,2.9,400,
US07633690-1,zemax,2.9,2.9,3.6,4-element mobile imaging
US07636205-1,zemax,2.6,2.4,3.6,
US07663815-1,zemax,4.7,2,8.1,4-element mobile imaging
US07688523-1,zemax,3.5,2.9,5.8,4-element mobile imaging
US07706087-1,zemax,21,1.5,51,double gauss
US07715116-2,zemax,21,6.7,215,
US07773305-1,zemax,1.8,3.2,1.66,#ERROR!
US07777974-2,zemax,21.7,3.2,60,macro
US07791825-1,zemax,35,6,99,relay
US07864451-1,zemax,21,2.9,100,macro
US07864452-1,zemax,7.1,5.6,6.2,fisheye
US07869141-1,zemax,2.3,2.1,1.65,fisheye: +-90 deg FOV
US07889441-1,zemax,3.5,2.7,4.9,4-element mobile imaging
US07898744-7,zemax,21.7,3.3,45,
US07944625-3,zemax,21.7,1.5,25,
US07957079-1,zemax,3.6,2.8,6.3,4-element mobile imaging
US07961406-1,zemax,2.2,2.8,3.2,4-element mobile imaging
US07969664-1,zemax,2.2,3,3.7,4-element mobile imaging
US07974016-1,zemax,2.8,3,3.9,4-element mobile imaging
US08000031-1,zemax,3.6,2.8,5.1,5-element mobile imaging
US08000032-1,zemax,2.6,4,7.1,4-element mobile imaging
US08004780-1,zemax,2.3,3.3,3.3,4-element mobile imaging
US08014080-1,zemax,3.5,2.1,4.75,4-element mobile imaging
US08027100-1,zemax,8.5,3.2,15,double gauss
US08031409-1,zemax,14,3.7,85,macro
US08068290-1,zemax,0.72,2.1,2.1,4-element mobile imaging
US08072695-1,zemax,3,2.6,4.6,54-element mobile imaging
US08089708-1,zemax,8.5,1.4,18,macro
US08102607-1,zemax,2.25,2.8,3.8,4-element mobile imaging
US08107174-4,zemax,21,3.8,24,
US08107174B2-2,zemax,21,3.8,24,
US08107175-1,zemax,14.2,2.8,18,
US08116013-2,zemax,1.66,2,1.8.,
US08116014-1,zemax,2.8,2.7,4.4,4-element mobile imaging
US08125719-1,zemax,2,2.8,3.6,4-element mobile imaging
US08130455-1,zemax,3.56,2.9,5.9,4-element mobile imaging
US08134787-1,zemax,1.8,2.4,0.83,
US08144405-1,zemax,1.8,2.9,0.7,
US08164678-1,zemax,2.2,3.5,3.5,4-element mobile imaging
US08169528-1,zemax,2.2,3,3.4,4-element mobile imaging
US08179470-1,zemax,2.3,2.8,3.7,4-element mobile imaging
US08179613-1,zemax,3.5,2.9,4.9,5-element mobile imaging
US08179615-1,zemax,2.9,2.4,4.1,5-element mobile imaging
US08179617-1,zemax,29,4,17,
US08203795-1,zemax,14.5,5.3,52,
US08223439-1,zemax,21.7,2.8,15,
US08233223-1,zemax,21,2.9,292,
US08238044-2,zemax,21.7,2.5,170,
US08294806-4,zemax,21.7,3,65,
US08305692-1,zemax,14.4,2,61,
US08411369-2,zemax,13.3,2.8,40,
US08416512-1,zemax,21.7,1.5,25,
US08422143-1,zemax,21.7,5.1,26,
US08427762-1,zemax,21.7,2.3,85,
US08427762-3,zemax,21.7,2,100,
US08427762-4,zemax,21.7,2.1,134,
US08427762-5,zemax,21.7,2.1,196,
US08427762-6,zemax,21.7,1.5,52,
US08427763-1,zemax,8.5,1.3,32,
US08427765-1,zemax,13.9,2,30,
US08456765-1,zemax,13,2.2,16.6,"front converter, 0.6X"
US08493664-1,zemax,21.7,2.9,55,
US08493664-2,zemax,21.7,2.9,58,
US08493664-6,zemax,21.7,2.9,60,
US08498065-1,zemax,21.7,1.5,52,
US08503096-1,zemax,11,1.5,25,
US08514500-1,zemax,2.7,2.7,4.1,5-element mobile imaging
US08547645-1,zemax,14,2.1,59,
US08605370-1,zemax,21.7,4,24,
US08625209-1,zemax,41,2.9,40,
US08638507-1,zemax,2.63,1.6,1.67,fisheye: +-90 deg FOV
US08670193-1,zemax,21.7,1.5,51,
US08681435-1,zemax,14.5,2.5,59,macro
US08699151-1,zemax,21.7,2.9,294,
US08717686-1,zemax,21.7,2,30,
US08721094-1,zemax,21.7,1.3,51,
US08767318-1,zemax,5.7,4.5,100,catadioptric
US08773783-1,zemax,21.7,1.3,85,
US08773783-2,zemax,21.7,1.8,83,
US08773783-3,zemax,21.7,2,132,
US08773783-4,zemax,21.7,1.5,50,
US08830298-1,zemax,1.7,2.5,1,#ERROR!
US08830599-1,zemax,21.7,2.6,18,
US08854747-1,zemax,13,2,21,macro
US08861085-1,zemax,21.7,2.9,28,
US08867146-1,zemax,21.7,3,36,
US08867147-1,zemax,21.7,1.9,18,
US08934179-1,zemax,2.7,2.2,4,5-element mobile imaging
US08934179-2,zemax,2.8,2.2,4.1,5-element mobile imaging
US08934179-3,zemax,2.8,2.2,4.1,5-element mobile imaging
US08934179-4,zemax,2.8,2.2,4.1,5-element mobile imaging
US08934182-1,zemax,21.7,1.5,51,
US08941921-1,zemax,21.7,1.8,132,
US08953093-1,zemax,21.7,1.8,51,
US08964096-2,zemax,21.7,1.5,51,
US08970966-1,zemax,21.7,2.8,45,
US08970966-2,zemax,21.7,2.8,39,
US08970966-3,zemax,,,,
US08976458-1,zemax,10,3,146,macro
US08988789-1,zemax,3,2.3,4,5-element mobile imaging
US08988789-3,zemax,2.7,2.2,3.7,5-element mobile imaging
US08988789-6,zemax,2.8,2.5,4.3,5-element mobile imaging
US09001440-1,zemax,21.7,2.9,60,
US09110286-1,zemax,11,5,245,catadioptric
US09110286-3,zemax,11,5,245,catadioptric
US09128271-1,zemax,1,2.8,1,
US09182570-1,zemax,14,3.7,10,fisheye
US09274322-1,zemax,1.93,2.2,1.3,"front converter, fisheye: +-90 deg FOV"
US09304299-2,zemax,1.82,4,1.3,"front converter, fisheye: +-90 deg FOV"
US09389399-1,zemax,0.9,1.9,1,
US09405094-1,zemax,21,5.7,775,
US11163141_lens system 610_folded,zemax,2.6,2.8,10,tolded telephoto for digital mobile phone
US20010040736 Example02_Tale24,zemax,3.52,,afocal,Nikon WC-E63 with Main Lens
US20030223122_Example04P,zemax,21.6,4.5,75,Ricoh smc Pentax-FA J 75-300mm F4.5-5.8 AL
US20040017605_Example03P,zemax,10.8,2.8,300,Olympus Zuiko Digital ED 300mm F2.8
US20040136095 Example01P,zemax,30.7,3.5,35,Hasselblad HC 3.5 35
US20040223070_Example04P,zemax,21.64,4,28,Canon EF28-105mm f4-5.6
US20060023317_Example01P,zemax,13.65,4,17,Canon EF-S17-85mm f4-5.6 IS USM
US20080212200_Example01P,zemax,21.6,2.8,70,Tamron SP AF70-200mm F2.8 Di
US20090190220_Example05P,zemax,14.3,3.5,85,Nikon AF-S DX Micro Nikkor 85mm f/3.5G ED VR
US20090290227_Example01P,zemax,14.2,3.5,18,Sony DT 18-55mm F3.5-5.6 SAM II
US20090296231_Example01P,zemax,21.6,2.8,70,Canon EF70-200mm f2.8L IS II USM
US20100073777_Example01P,zemax,14.2,1.4,55,Ricoh smc Pentax-DA 55mm F1.4 SDM
US20100149663_Example01P,zemax,14.2,2,30,Samsung 30mm F2
US20110176215_Example01P,zemax,15,2.8,40,Nikon AF-S DX Micro Nikkor 40mm f/2.8G
US20110286106_Example01P,zemax,14.2,3.5,18,Sony E PZ 18-200 mm F3.5-6.3 OSS
US20110286116_Example01P,zemax,14.5,2,60,Tamron SP AF60mm F/2 Di II LD [IF] Macro 1:1
US20120002298_Example06P,zemax,14.24,3.5,18,Ricoh smc Pentax-DA 18-135mm F3.5-5.6ED AL[IF] DC WR
US20120056976_Example01P,zemax,14.3,2.8,20,Samsung 20mm F2.8
US20120063011_Example01P,zemax,30.7,3.5,50,Hasselblad HC 3.5 50-II
US20120147254_Example04P,zemax,10.8,3.5,8,Panasonic Lumix G Fisheye 8mm F3.5
US20120307129_Example01P,zemax,14.4,2.8,16,Sony DT 16-50mm F2.8 SSM
US20130033768_Example02P,zemax,14.2,1.8,24,Sony Sonnar T* E 24mm F1.8 ZA
US20130057972_Example03P,zemax,14.2,2.4,16,Samsung 16mm F2.4
US20130148006_Example01P,zemax,10.2,2.5,14,Panasonic Lumix G 14mm F2.5 II Asph
US20130155294_Example01P,zemax,14.2,3.5,18,Sony DT 18-135mm F3.5-5.6 SAM
US20130222925 Example04P,zemax,34.85,2.8,90,Ricoh HD Pentax-D FA645 90mm F2.8 ED AW SR Macro
US20130235467_Example01P,zemax,14.2,3.5,10,Samsung 10mm F3.5 Fisheye
US20130314588_Example01P,zemax,14.2,1.8,45,Samsung 45mm F1.8
US20140071331 Example04P,zemax,21.63,1.4,50,Sony Planar T* 50mm F1.4 ZA SSM
US20140204265_Example04P,zemax,14.2,2.8,20,Sony E 20mm F2.8
US20140247506_Example01P,zemax,14.2,2.4,60,Fujifilm Fujinon XF60mm F2.4 R Macro
US20140285903_Example01P,zemax,14.3,1.4,35,Fujifilm Fujinon XF35mm F1.4 R
US20140368926_Example04P,zemax,14.2,1.4,23,Fujifilm Fujinon XF23mm F1.4 R
US20150077859_Example04P,zemax,21.63,3.5,28,Sony FE 28-70mm F3.5-5.6 OSS
US20150092100_Example01P,zemax,21.6,1.8,55,Sony Sonnar T* FE 55 mm F1.8 ZA
US20150097989_Example02P,zemax,18.2,3.5,12,Panasonic Lumix G Vario 12-32mm F3.5-5.6 Asph Mega OIS
US20150168694_Example01P,zemax,14.2,2.8,14,Fujifilm Fujinon XF14mm F2.8 R
US20150185495_Example01P,zemax,14.25,3.5,18,Nikon AF-S DX Nikkor 18-55mm f/3.5-5.6G VR II
US20150192839_Example05P,zemax,10.8,1.2,42.5,Panasonic Leica DG Nocticron 42.5mm F1.2 Asph Power OIS
US20150205081_Example01P,zemax,21.6,2,35,Canon EF35mm f2 IS USM
US20150212302_Example03P,zemax,14.3,1.2,56,Fujifilm Fujinon XF56mmF1.2 R
US20150226943_Example01TCP,zemax,NA,NA,NA,Olypmus MC-14 M.Zuiko Digital 1.4X Teleconverter
US20150226945_Example01P,zemax,21.63,4,70,Sony FE 70-200mm F4 G OSS
US20150241657_Example01P,zemax,4.7,2.8,15,Ricoh smc Pentax-Q 06 Telephoto Zoom 15-45mm F2.8
US20150316753_Example01P,zemax,14.2,3.5,16,Sony E PZ 16-50mm F3.5-5.6 OSS
US20160011404_Example05P,zemax,14.2,2.8,27,Fujifilm Fujinon XF27mm F2.8
US20160103303_Example01P,zemax,21.64,2.8,70,Ricoh HD Pentax-D FA 70-200mm F2.8ED DC AW
US20160209632_Example01P,zemax,21.63,2.8,90,Leica APO-Vario-Elmarit-SL 90-280mm F2.8-4
US20160274335_Example01P,zemax,14.2,2,90,Fujifilm Fujinon XF90mm F2 R LM WR
US20160282590_Example01P,zemax,14.2,1.4,16,Fujifilm Fujinon XF16mm F1.4 R WR
US20160313535 Example01P,zemax,13.66,3.5,28,Canon EF-M28mm f3.5 Macro IS STM
US20170010441_Example01P,zemax,14.2,2,35,Fujifilm Fujinon XF35mm F2 R WR
US20170059832 Example04P,zemax,10.82,1.7,25,Panasonic Lumix G 25mm F1.7 Asph
US20170068075_Example02P,zemax,21.64,3.5,28,Ricoh HD Pentax-D FA 28-105mm F3.5-5.6ED DC WR
US20170242219 Example01P,zemax,27.5,2.8,63,Fujifilm Fujinon GF63mm F2.8 R WR
US20170242227_Example02P,zemax,10,3.5,12,Panasonic Lumix G Vario 12-60mm F3.5-5.6 Asph Power OIS
US20170329112_Example01P,zemax,14.2,4.5,55,Ricoh HD Pentax-DA 55-300mm F4.5-6.3ED PLM WR RE
US20170351051 Example01P,zemax,14.2,2,23,Fujifilm Fujinon XF23mm F2 R WR
US20180031811_Example04P,zemax,21.6,4,600,Nikon AF-S Nikkor 600mm f/4E FL ED VR
US20180059384 Example01P,zemax,27.5,4,120,Fujifilm Fujinon GF120mm F4 R LM OIS WR Macro
US20180074300_Example01P,zemax,13.6,2.8,35,Canon EF-S35mm f2.8 Macro IS STM
US20180074300_Example02P,zemax,13.6,3.5,18,Canon EF-M18-150mm f3.5-6.3 IS STM
US20180095255_Example02P,zemax,NA,NA,NA,Canon Extender EF1.4X III
US20180095255_Example05P,zemax,NA,NA,NA,Canon Extender EF2X III
US20180095255_MLP,zemax,21.6,2.8,400,Canon EF400mm f2.8L IS II USM
US20180100988 Example01P,zemax,27.5,2,110,Fujifilm Fujinon GF110mm F2 R LM WR
US20180196240_Example11P,zemax,8.2,3.5,10,Nikon 1 Nikkor VR 10-30mm f/3.5-5.6 PD-Zoom
US20180210178_Example01P,zemax,29,4,23,Fujifilm Fujinon GF23mm F4 R LM WR
US20180246292 Example01P,zemax,14.2,2.8,80,Fujifilm Fujinon XF80mm F2.8 R LM OIS WR Macro
US20180284478_Example01P,zemax,10.8,4,100,Panasonic Leica DG Vario-Elmar 100-400mm F4.0-6.3 Asph Power OIS
US20190086645_Example01P,zemax,28.6,4,250,Fujifilm Fujinon GF250mm F4 R LM OIS WR with Fujifilm Fujinon GF1.4X TC WR
US20190086645_Example01TCP,zemax,NA,NA,NA,Fujifilm Fujinon GF1.4X TC WR
US20190086648_Example02P,zemax,21.6,4,11,TH Swiss Irix 11mm f/4.0
US20190094496_Example01P,zemax,28.6,4,250,Fujifilm Fujinon GF250mm F4 R LM OIS WR
US20190113711_Example01P,zemax,21.6,1.8,35,Canon RF35mm F1.8 Macro IS STM
US20190250367_Example01P,zemax,21.6,1.4,50,Ricoh HD Pentax-D FA 50mm F1.4 SDM AW
US20190265441_Example02P,zemax,21.6,1.2,50,Canon RF50mm F1.2 L USM
US20190265504_Example01P,zemax,15.4,2,200,Fujifilm Fujinon XF200mm F2 R LM OIS WR
US20190369371_Example04P,zemax,21.63,2.8,16,Sony FE C 16-35mm T3.1
US20200012073_Example01P,zemax,21.6,1.2,85,Canon RF85mm F1.2 L USM (DS)
US20200018936_Example01P,zemax,15.4,2.8,200,Fujifilm Fujinon XF200mm F2 R LM OIS WR with Fujifilm Fujinon XF1.4X TC F2 WR
US20200018936_Example01TCP,zemax,NA,NA,NA,Fujifilm Fujinon XF1.4X TC F2 WR
US20200073096_Example03P,zemax,14.2,2.8,16,Fujifilm Fujinon XF16mm F2.8 R WR
US20200166730 Example01P,zemax,27.5,3.5,50,Fujifilm Fujinon GF50mm F3.5 R LM WR
US20200174231_Example01P,zemax,29,2.8,45,Fujifilm Fujinon GF45mm F2.8 R WR
US20200192060 Example02P,zemax,28,3.5,120,Hasselblad XCD 3.5 120 Macro
US20200271904_Example03P,zemax,NA,NA,NA,Canon Extender RF1.4X
US20200271904_Example06P,zemax,NA,NA,NA,Canon Extender RF2X
US20200301101_Example03P,zemax,21.6,1.4,85,Ricoh HD Pentax-D FA 85mm F1.4ED SDM AW
US20200319427 Example01P,zemax,28.02,2.8,65,Hasselblad XCD 2.8 65
US20200341238 Example03P,zemax,13.2,2.8,18,Leica Elmarit-TL 18mm F2.8 Asph
US20200371325_Example02P,zemax,10.8,1.7,10,Panasonic Leica DG Vario-Summilux 10-25mm F1.7 Asph
US20210072505_Example01P,zemax,21.6,2,85,Canon RF85mm F2 Macro IS STM
US20210231927 Example03P,zemax,14.2,1,50,Fujifilm Fujinon XF50mm F1.0 R WR
US20210231930 Example01P,zemax,27.8,3.5,30,Fujifilm Fujinon GF30mm F3.5 R WR
US20210263286 Example01P,zemax,21.64,1.8,50,Canon RF50mm F1.8 STM
US20210286156_Example06P,zemax,14.2,4,70,Fujifilm Fujinon XF70-300mm F4-5.6 R LM OIS WR
US20210294073 Example01P,zemax,27.35,1.7,80,Fujifilm Fujinon GF80mm F1.7 R WR
US20220011542 Example01P,zemax,14.2,1.4,18,Fujifilm Fujinon XF18mm F1.4 R LM WR
US6844989,zemax,3.9,2.8,4.2,mobile imaging
US7643225,zemax,4.1,2.8,3.67,mobile imaging
US8558939,zemax,3.5,2.84,3.74,mobile imaging
WO2014-007298_Example02P,zemax,14,4,10,Sony E 10-18 mm F4 OSS
WO2014-061226_Example01P,zemax,8.2,1.2,32,Nikon 1 Nikkor 32mm f/1.2
WO2016-136352 Example02P,zemax,21.63,2.8,90,Sony FE 90mm F2.8 Macro G OSS
WO2017-134928_Example03P,zemax,NA,NA,NA,Sony 2x Teleconverter Lens (SEL)
WO2017-134928_Example06P,zemax,NA,NA,NA,Sony 1.4x Teleconverter Lens (SEL)
WO2017-138250_Example02P,zemax,21.6,1.4,50,Sony Planar T* FE 50mm F1.4 ZA
WO2017-221949 Example01P,zemax,28.04,3.5,45,Hasselblad XCD 3.5 45
WO2018-052113 Example01P,zemax,28,3.5,30,Hasselblad XCD 3.5 30
WO2019-073744_Example01P,zemax,21.6,1.4,24,Sony FE 24mm F1.4 GM
WO2019-116563_Example03P,zemax,21.6,1.4,105,Nikon AF-S Nikkor 105mm f/1.4E ED
WO2019-187633_Example01P,zemax,21.6,1.8,135,Sony FE 135mm F1.8 GM
WO2019-220618_Example09P,zemax,21.6,1.8,50,Nikon Nikkor Z 50mm f/1.8 S
WO2019-229849_Example01P,zemax,21.7,0.95,58,Nikon Nikkor Z 58mm f/0.95 S
WO2020-119907_Example01P,zemax,21.6,2.8,150,TH Swiss Irix 150mm f/2.8 Macro
WO2020-158622_Example03P,zemax,21.6,1.4,50,Panasonic Lumix S Pro 50mm F1.4
WO2020-230915_Example01P,zemax,21.6,2.8,24,Samyang AF 24mm F2.8 FE
WO2021-039813_Example01P,zemax,21.7,2.8,18,Nikon AF Nikkor 18mm f/2.8D
WO2021-039813_Example02P,zemax,14.25,4.5,18,Nikon AF-P DX Nikkor 10-20mm f/4.5-5.6G VR
WO2021-085655 Example03P,zemax,21.63,1.4,85,Samyang AF 85mm F1.4 FE/F/RF
WO2021-200206_Example02P,zemax,21.6,2.8,12,Sony FE 12-24mm F2.8 GM
WO2021-241230 Example01P,zemax,21.6,1.2,50,Nikon Nikkor Z 50mm f/1.2 S
WO2022-071249 Example02P,zemax,21.7,2.8,28,Nikon Nikkor Z 28mm f/2.8
